;,T24 Nonresidential ACM Ruleset,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,
;,,UnitaryACHPMinEffReq,,,,,,,,,,,
;,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,
;,,Date,Purpose,,,,,,,,,,
;,,6/19/2019,Incorporate 2022 records (copied from 2019) and revise table name removing '2019',,,,,,,,,,
;,,12/14/2017,"Copy of 2016 table, modified for 2019 ruleset",,,,,,,,,,
;,,8/4/2019,Update <65kBtu/hr table reference and add min EER reqs for Split1Phase HPs ,,,,,,,,,,
;,,8/27/2020,Updates for Ticket 3217 (Fix for WSHP). Change EER/COP 'NA' values to 0. Add values for VRF. Add notes column,,,,,,,,,,
;,,,,,,,,,,,,,
;,STANDARDS/ACM REFERENCE(S):,,,,,,,,,,,,
;,,TABLE 110.2-A - ELECTRICALLY OPERATED UNITARY AIR CONDITIONERS AND CONDENSING UNITS – MINIMUM EFFICIENCY REQUIREMENTS,,,,,,,,,,,
;,,TABLE 110.2-B - UNITARY AND APPLIED HEAT PUMPS - MINIMUM EFFICIENCY REQUIREMENTS,,,,,,,,,,,
;,,TABLE 110.2-E - PACKAGED TERMINAL AIR CONDITIONER AND  PACKAGED TERMINAL HEAT PUMP - MINIMUM EFFICIENCY REQUIREMENTS,,,,,,,,,,,
;,,T20 Appliance Efficiency Standards,,,,,,,,,,,
;,, ,,,,,,,,,,,
;,NOTES:,,,,,,,,,,,,
;,,Adjustments to EER for systems with a heating section other than electric resistance heat performed in rules ,,,,,,,,,,,
;,,HP COP requirement specified at 47F db/43f wb outdoor air rating point,,,,,,,,,,,
;,,Zero values indicate there is no requirement,,,,,,,,,,,
;,,,,,,,,,,,,,
;,SYNTAX EXAMPLES:,,,,,,,,,,,,
;,,"UnitaryACHPMinEffReq:EER(StandardsVersion=Proj:StdsVersion,Category = ""AC"", SubCategory = ""CRAC"", CondenserType = ""Air"", SizeCategory = 80000)",,,,,,,,,,,
;,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,
,TABLE UnitaryACHPMinEffReq,,,,,,,,,,,,
,,StandardsVersion,Category,SubCategory,CondenserType,SizeCategory,EER,IEER,EERSource,COP47,COP17,COPSource,Notes
,,Compliance2022,SPVAC,*,Air,<65000,11,0,T24 Std Table 110.2-E,0,0,NA,
,,Compliance2019,SPVAC,*,Air,<65000,11,0,T24 Std Table 110.2-E,0,0,NA,
,,*,SPVAC,*,Air,<65000,10,0,T24 Std Table 110.2-E,0,0,NA,
,,*,SPVAC,*,Air,*,10,0,T24 Std Table 110.2-E,0,0,NA,
,,*,AC,Split1Phase,Air,<45000,12.2,0,Appl Std Table C-3,0,0,NA,
,,*,AC,Split1Phase,Air,<65000,11.7,0,Appl Std Table C-3,0,0,NA,
,,*,AC,Packaged1Phase,Air,<65000,11,0,Appl Std Table C-3,0,0,NA,
,,*,AC,*,Air,<65000,0,0,NA,0,0,NA,SEER req. covered by separate rule
,,*,AC,*,Air,<135000,11.2,12.9,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,Air,<240000,11,12.4,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,Air,<760000,10,11.6,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,Air,>=760000,9.7,11.2,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,WaterSource,<17000,12.1,0,Appl Std Table C-5,0,0,NA,
,,*,AC,*,WaterSource,<65000,12.1,0,Appl Std Table C-5,0,0,NA,
,,*,AC,*,WaterSource,<135000,12.1,13.9,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,WaterSource,<240000,12.5,13.9,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,WaterSource,<760000,12.4,13.6,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,WaterSource,>=760000,12.2,13.5,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,EvaporativelyCooled,<65000,12.1,0,Appl Std Table C-4,0,0,NA,
,,*,AC,*,EvaporativelyCooled,<135000,12.1,12.3,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,EvaporativelyCooled,<240000,12,12.2,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,EvaporativelyCooled,<760000,11.9,12.1,T24 Std Table 110.2-A,0,0,NA,
,,*,AC,*,EvaporativelyCooled,>=760000,11.7,11.9,T24 Std Table 110.2-A,0,0,NA,
,,Compliance2022,SPVHP,*,Air,<65000,11,0,T24 Std Table 110.2-E,3.3,0,T24 Std Table 110.2-E,No min COP at 17F
,,Compliance2019,SPVHP,*,Air,<65000,11,0,T24 Std Table 110.2-E,3.3,0,T24 Std Table 110.2-E,No min COP at 17F
,,*,SPVHP,*,Air,<65000,10,0,T24 Std Table 110.2-E,3,0,T24 Std Table 110.2-E,No min COP at 17F
,,*,SPVHP,*,Air,*,10,0,T24 Std Table 110.2-E,3,0,T24 Std Table 110.2-E,No min COP at 17F
